Iter,Config,Kernel,Extractor,Mode,Level,Sample_ID,Label,Predicted,Cause,Failed_Model,Active_Features,Suggestion
3,Baseline,linear,feature_extractor,['LINEAR_DRIFT'],4.0,0,circle,diagonal_left,M1 (Missed Circle),M1,"['ratio_pca_resid', 'xy_area_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Baseline][M1] Add 'apex_vec_y', [Baseline][M1] Remove 'helix_thickness', [Baseline][M1] Add 'max_reach'"
3,Baseline,linear,feature_extractor,['LINEAR_DRIFT'],6.0,0,circle,diagonal_left,M1 (Missed Circle),M1,"['ratio_pca_resid', 'xy_area_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Baseline][M1] Add 'apex_vec_y', [Baseline][M1] Remove 'helix_thickness', [Baseline][M1] Add 'max_reach'"
3,Experimental_Update,linear,feature_extractor,['LINEAR_DRIFT'],6.0,0,circle,diagonal_left,M1 (Missed Circle),M1,"['linearity_shape', 'ratio_pca_resid', 'xy_area_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Add 'slope_xy_clean', [Experimental_Update][M1] Remove 'deviation_max', [Experimental_Update][M1] Add 'X_iqr'"
4,Baseline,linear,feature_extractor,['LINEAR_DRIFT'],2.0,29,vertical,diagonal_left,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'clean_range_X', 'clean_range_Y', 'clean_range_Z', 'apex_vec_z', 'pca_z_clean']","[Baseline][M3] Add 'jerk_smooth', [Baseline][M3] Remove 'pca_z_clean', [Baseline][M3] Add 'corr_xy_clean'"
4,Baseline,linear,feature_extractor,['LINEAR_DRIFT'],4.0,29,vertical,diagonal_left,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'clean_range_X', 'clean_range_Y', 'clean_range_Z', 'apex_vec_z', 'pca_z_clean']","[Baseline][M3] Add 'jerk_smooth', [Baseline][M3] Remove 'pca_z_clean', [Baseline][M3] Add 'corr_xy_clean'"
4,Baseline,linear,feature_extractor,['LINEAR_DRIFT'],6.0,37,circle,diagonal_left,M1 (Missed Circle),M1,"['ratio_pca_resid', 'xy_area_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Baseline][M1] Add 'apex_vec_y', [Baseline][M1] Remove 'xy_area_resid', [Baseline][M1] Remove 'helix_thickness'"
4,Baseline,linear,feature_extractor,['LINEAR_DRIFT'],6.0,29,vertical,diagonal_left,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'clean_range_X', 'clean_range_Y', 'clean_range_Z', 'apex_vec_z', 'pca_z_clean']","[Baseline][M3] Add 'jerk_smooth', [Baseline][M3] Remove 'pca_z_clean', [Baseline][M3] Add 'corr_xy_clean'"
4,Experimental_Update,linear,feature_extractor,['LINEAR_DRIFT'],2.0,29,vertical,diagonal_left,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'clean_range_X', 'clean_range_Y', 'clean_range_Z', 'apex_vec_z', 'pca_z_clean']","[Experimental_Update][M3] Remove 'clean_range_X', [Experimental_Update][M3] Add 'ratio_pca_resid', [Experimental_Update][M3] Add 'jerk_smooth'"
4,Experimental_Update,linear,feature_extractor,['LINEAR_DRIFT'],4.0,29,vertical,diagonal_left,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'clean_range_X', 'clean_range_Y', 'clean_range_Z', 'apex_vec_z', 'pca_z_clean']","[Experimental_Update][M3] Remove 'clean_range_X', [Experimental_Update][M3] Add 'ratio_pca_resid', [Experimental_Update][M3] Add 'jerk_smooth'"
4,Experimental_Update,linear,feature_extractor,['LINEAR_DRIFT'],6.0,29,vertical,diagonal_left,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'clean_range_X', 'clean_range_Y', 'clean_range_Z', 'apex_vec_z', 'pca_z_clean']","[Experimental_Update][M3] Remove 'clean_range_X', [Experimental_Update][M3] Add 'ratio_pca_resid', [Experimental_Update][M3] Add 'jerk_smooth'"
