Iter,Config,Kernel,Extractor,Mode,Level,Sample_ID,Label,Predicted,Cause,Failed_Model,Active_Features,Suggestion
1,Baseline,linear,feature_extractor,['LINEAR_DISTORTION'],400.0,37,circle,diagonal_left,M1 (Missed Circle),M1,"['ratio_pca_resid', 'xy_area_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Baseline][M1] Remove 'corr_xy_clean', [Baseline][M1] Remove 'radius_ratio_resid', [Baseline][M1] Add 'turn_angle_sum'"
1,Experimental_Update,linear,feature_extractor,['LINEAR_DISTORTION'],200.0,34,circle,vertical,M1 (Missed Circle),M1,"['ratio_pca_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Add 'ldlj', [Experimental_Update][M1] Add 'Y_iqr', [Experimental_Update][M1] Add 'max_reach'"
1,Experimental_Update,linear,feature_extractor,['LINEAR_DISTORTION'],200.0,36,circle,vertical,M1 (Missed Circle),M1,"['ratio_pca_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Remove 'corr_xy_clean', [Experimental_Update][M1] Add 'X_iqr', [Experimental_Update][M1] Add 'ldlj'"
1,Experimental_Update,linear,feature_extractor,['LINEAR_DISTORTION'],200.0,37,circle,diagonal_left,M1 (Missed Circle),M1,"['ratio_pca_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Add 'ldlj', [Experimental_Update][M1] Add 'Y_iqr', [Experimental_Update][M1] Add 'max_reach'"
1,Experimental_Update,linear,feature_extractor,['LINEAR_DISTORTION'],200.0,40,circle,diagonal_left,M1 (Missed Circle),M1,"['ratio_pca_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Remove 'corr_xy_clean', [Experimental_Update][M1] Add 'X_iqr', [Experimental_Update][M1] Add 'ldlj'"
1,Experimental_Update,linear,feature_extractor,['LINEAR_DISTORTION'],200.0,41,circle,diagonal_right,M1 (Missed Circle),M1,"['ratio_pca_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Remove 'corr_xy_clean', [Experimental_Update][M1] Add 'X_iqr', [Experimental_Update][M1] Add 'ldlj'"
1,Experimental_Update,linear,feature_extractor,['LINEAR_DISTORTION'],300.0,34,circle,vertical,M1 (Missed Circle),M1,"['ratio_pca_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Add 'ldlj', [Experimental_Update][M1] Add 'Y_iqr', [Experimental_Update][M1] Add 'max_reach'"
1,Experimental_Update,linear,feature_extractor,['LINEAR_DISTORTION'],300.0,35,circle,vertical,M1 (Missed Circle),M1,"['ratio_pca_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Add 'ldlj', [Experimental_Update][M1] Add 'Y_iqr', [Experimental_Update][M1] Add 'max_reach'"
1,Experimental_Update,linear,feature_extractor,['LINEAR_DISTORTION'],300.0,36,circle,vertical,M1 (Missed Circle),M1,"['ratio_pca_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Remove 'corr_xy_clean', [Experimental_Update][M1] Add 'X_iqr', [Experimental_Update][M1] Add 'ldlj'"
1,Experimental_Update,linear,feature_extractor,['LINEAR_DISTORTION'],300.0,37,circle,diagonal_left,M1 (Missed Circle),M1,"['ratio_pca_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Remove 'corr_xy_clean', [Experimental_Update][M1] Add 'X_iqr', [Experimental_Update][M1] Add 'Y_iqr'"
